Pickup Location,Drop Location,Total_Bookings,Completed_Bookings,Cancelled_Bookings,Revenue,Avg_Ride_Distance,Avg_Booking_Value,Completion_Rate,Cancellation_Rate
Anand Vihar,Lal Quila,5,5,0,3015.0,28.02,603.0,100.0,0.0
Vinobapuri,ITO,5,5,0,2448.0,20.46,489.6,100.0,0.0
Indraprastha,Jahangirpuri,5,3,2,905.0,24.56,301.67,60.0,40.0
Ashram,Noida Extension,5,4,0,3281.0,21.54,820.25,80.0,0.0
Vinobapuri,India Gate,5,2,3,1697.0,33.76,848.5,40.0,60.0
Indraprastha,Janakpuri,5,3,2,1192.0,17.17,397.33,60.0,40.0
Kadarpur,Paschim Vihar,5,4,1,1345.0,30.35,336.25,80.0,20.0
Ashram,Noida Sector 62,5,2,1,1585.0,26.04,471.75,40.0,20.0
Indraprastha,Jhilmil,5,2,1,1570.0,38.61,785.0,40.0,20.0
Jhilmil,Vaishali,5,4,0,818.0,34.3,204.5,80.0,0.0
Adarsh Nagar,Manesar,5,3,1,1426.0,17.77,522.75,60.0,20.0
Vinobapuri,Indraprastha,5,0,5,0.0,,,0.0,100.0
Adarsh Nagar,New Colony,5,4,1,1585.0,17.18,396.25,80.0,20.0
South Extension,Mundka,5,3,1,1255.0,34.78,332.0,60.0,20.0
Jhilmil,Uttam Nagar,5,2,0,619.0,11.16,269.5,40.0,0.0
Indraprastha,Kanhaiya Nagar,5,4,0,1393.0,25.17,316.6,80.0,0.0
Indraprastha,Karkarduma,5,5,0,2610.0,29.4,522.0,100.0,0.0
Kashmere Gate,Indraprastha,5,4,0,2408.0,36.79,602.0,80.0,0.0
Kashmere Gate,Panchsheel Park,5,4,0,3361.0,25.02,840.25,80.0,0.0
Ashram,Paschim Vihar,5,4,1,3782.0,26.2,945.5,80.0,20.0
Vinobapuri,Jama Masjid,5,3,0,1780.0,10.77,583.25,60.0,0.0
Anand Vihar ISBT,Sushant Lok,5,4,1,1129.0,21.46,282.25,80.0,20.0
Indraprastha,Gwal Pahari,5,3,1,657.0,30.45,219.0,60.0,20.0
Jhilmil,Subhash Chowk,5,4,1,2490.0,21.42,622.5,80.0,20.0
Jhilmil,Sushant Lok,5,3,1,2454.0,29.13,818.0,60.0,20.0
Ashram,Mansarovar Park,5,4,1,3527.0,27.11,881.75,80.0,20.0
Sohna Road,Janakpuri,5,3,1,1239.0,26.13,359.0,60.0,20.0
Indraprastha,Malviya Nagar,5,3,1,1278.0,16.24,543.5,60.0,20.0
Shivaji Park,Satguru Ram Singh Marg,5,3,2,1370.0,32.17,456.67,60.0,40.0
Adarsh Nagar,Kanhaiya Nagar,5,3,0,354.0,3.81,243.5,60.0,0.0
Anand Vihar ISBT,Sonipat,5,3,1,1094.0,33.72,364.67,60.0,20.0
Anand Vihar,Khan Market,5,3,2,1765.0,29.05,588.33,60.0,40.0
Kashmere Gate,Ghitorni Village,5,4,1,1504.0,25.74,376.0,80.0,20.0
Kashmere Gate,Golf Course Road,5,1,2,453.0,30.81,453.0,20.0,40.0
Ashram,Peeragarhi,5,2,2,556.0,19.39,444.0,40.0,40.0
Jhilmil,Yamuna Bank,5,3,2,1624.0,14.27,541.33,60.0,40.0
Ashram,Model Town,5,1,3,109.0,3.53,109.0,20.0,60.0
Ashram,Moti Nagar,5,3,1,2252.0,19.6,717.75,60.0,20.0
Adarsh Nagar,Kaushambi,5,2,2,398.0,26.74,199.0,40.0,40.0
Ashram,Patel Chowk,5,3,2,4947.0,24.36,1649.0,60.0,40.0
Welcome,Badshahpur,5,3,1,742.0,15.94,247.33,60.0,20.0
South Extension,Nirman Vihar,5,3,2,1419.0,23.41,473.0,60.0,40.0
Anand Vihar ISBT,Patel Chowk,5,3,1,2034.0,37.57,678.0,60.0,20.0
Kashmere Gate,IFFCO Chowk,5,3,1,2160.0,29.8,720.0,60.0,20.0
Adarsh Nagar,Gurgaon Sector 56,5,1,2,2197.0,12.84,1298.5,20.0,40.0
Shivaji Park,Udyog Bhawan,5,3,2,1552.0,21.08,517.33,60.0,40.0
Welcome,Chirag Delhi,5,4,0,1645.0,23.3,539.8,80.0,0.0
Kadarpur,Saidulajab,5,2,2,435.0,29.41,217.5,40.0,40.0
Aya Nagar,AIIMS,5,3,2,1909.0,30.75,636.33,60.0,40.0
Kadarpur,Shivaji Park,5,4,1,1787.0,26.74,446.75,80.0,20.0
Indraprastha,Palam Vihar,5,2,2,1500.0,21.96,1244.33,40.0,40.0
Kadarpur,Moti Nagar,5,3,2,947.0,13.58,315.67,60.0,40.0
Sohna Road,Yamuna Bank,5,4,1,2921.0,22.36,730.25,80.0,20.0
Ashram,Yamuna Bank,5,4,1,1064.0,18.78,266.0,80.0,20.0
Kashmere Gate,Nawada,5,2,0,342.0,15.61,216.0,40.0,0.0
Indraprastha,Old Gurgaon,5,4,1,2657.0,18.66,664.25,80.0,20.0
Anand Vihar,Mundka,5,2,2,508.0,39.04,254.0,40.0,40.0
Vinobapuri,Huda City Centre,5,1,4,440.0,40.7,440.0,20.0,80.0
Sonipat,AIIMS,5,3,1,1804.0,24.6,630.25,60.0,20.0
Jhilmil,Satguru Ram Singh Marg,5,2,3,1292.0,27.27,646.0,40.0,60.0
Ashram,Sushant Lok,5,2,3,673.0,15.76,336.5,40.0,60.0
Kashmere Gate,Narsinghpur,5,4,0,1753.0,16.82,420.0,80.0,0.0
Anand Vihar,Nawada,5,2,3,814.0,17.81,407.0,40.0,60.0
Adarsh Nagar,Govindpuri,5,5,0,1814.0,30.86,362.8,100.0,0.0
Indraprastha,Patel Chowk,5,2,2,2615.0,13.21,929.67,40.0,40.0
Aya Nagar,Bahadurgarh,5,3,2,1434.0,16.03,478.0,60.0,40.0
Yamuna Bank,New Delhi Railway Station,5,5,0,2382.0,20.15,476.4,100.0,0.0
Vinobapuri,Hauz Khas,5,4,1,1635.0,37.6,408.75,80.0,20.0
Anand Vihar,Munirka,5,3,1,2101.0,37.04,700.33,60.0,20.0
South Extension,Rithala,5,4,1,2157.0,34.28,539.25,80.0,20.0
Kashmere Gate,Okhla,5,2,0,653.0,28.56,274.5,40.0,0.0
Sohna Road,IIT Delhi,5,4,1,2955.0,14.13,738.75,80.0,20.0
Jor Bagh,Greater Kailash,5,4,0,3148.0,21.58,647.0,80.0,0.0
Sohna Road,IMT Manesar,5,2,1,1506.0,14.69,668.0,40.0,20.0
Sohna Road,IGI Airport,5,3,2,1995.0,18.36,665.0,60.0,40.0
Karol Bagh,Vishwavidyalaya,5,5,0,2178.0,32.17,435.6,100.0,0.0
Adarsh Nagar,Punjabi Bagh,5,4,1,2264.0,39.97,566.0,80.0,20.0
Aya Nagar,Azadpur,5,1,3,467.0,6.96,400.5,20.0,60.0
Jor Bagh,Ghitorni,5,2,2,1542.0,28.96,579.67,40.0,40.0
Sohna Road,Karol Bagh,5,4,1,3432.0,20.82,858.0,80.0,20.0
Indraprastha,Preet Vihar,5,3,2,1625.0,10.36,541.67,60.0,40.0
Aya Nagar,Anand Vihar ISBT,5,3,2,2813.0,17.57,937.67,60.0,40.0
Aya Nagar,Badshahpur,5,2,3,689.0,8.7,344.5,40.0,60.0
Vinobapuri,Hauz Rani,5,3,1,1859.0,33.97,619.67,60.0,20.0
Welcome,Chandni Chowk,5,3,2,1017.0,28.14,339.0,60.0,40.0
Jor Bagh,Dwarka Sector 21,5,3,1,1327.0,37.02,442.33,60.0,20.0
Indirapuram,Subhash Chowk,5,2,3,856.0,34.16,428.0,40.0,60.0
Jor Bagh,Gurgaon Railway Station,5,1,3,232.0,4.44,232.0,20.0,60.0
Jhilmil,Saidulajab,5,4,1,3797.0,23.47,949.25,80.0,20.0
Shivaji Park,Raj Nagar Extension,5,3,1,3030.0,19.23,1010.0,60.0,20.0
Shivaji Park,Rohini West,5,5,0,2789.0,30.57,557.8,100.0,0.0
Sohna Road,Sonipat,5,4,0,2231.0,18.89,557.75,80.0,0.0
Karol Bagh,Udyog Vihar Phase 4,5,2,1,365.0,25.22,255.67,40.0,20.0
Adarsh Nagar,Rajiv Chowk,5,4,0,1707.0,16.86,438.6,80.0,0.0
Adarsh Nagar,RK Puram,5,2,2,880.0,22.37,440.0,40.0,40.0
Kashmere Gate,Meerut,5,2,2,1833.0,25.25,916.5,40.0,40.0
Kashmere Gate,Model Town,5,4,0,1423.0,32.06,355.75,80.0,0.0
Kadarpur,Sadar Bazar Gurgaon,5,4,1,1395.0,21.54,348.75,80.0,20.0
Indirapuram,Seelampur,5,4,1,2256.0,27.04,564.0,80.0,20.0
Aya Nagar,Bhikaji Cama Place,5,3,2,1656.0,35.76,552.0,60.0,40.0
Ashram,Green Park,5,3,2,1470.0,29.35,490.0,60.0,40.0
Indraprastha,Arjangarh,5,4,1,1309.0,29.42,327.25,80.0,20.0
Anand Vihar ISBT,Old Gurgaon,5,1,2,224.0,36.08,224.0,20.0,40.0
South Extension,Pitampura,5,3,2,2080.0,23.75,693.33,60.0,40.0
Adarsh Nagar,Patel Chowk,5,4,1,2859.0,19.03,714.75,80.0,20.0
Ashram,Govindpuri,5,4,0,1075.0,23.34,268.75,80.0,0.0
Anand Vihar,Moolchand,5,2,1,1882.0,15.45,908.67,40.0,20.0
Adarsh Nagar,Green Park,5,4,1,1179.0,24.59,294.75,80.0,20.0
Kashmere Gate,Ashok Park Main,5,3,1,1480.0,34.25,421.5,60.0,20.0
Adarsh Nagar,Gurgaon Railway Station,5,2,2,578.0,16.47,522.0,40.0,40.0
Ashram,Jasola,5,3,1,1468.0,29.3,480.0,60.0,20.0
Anand Vihar,Janakpuri,4,1,2,346.0,36.91,346.0,25.0,50.0
Welcome,Jahangirpuri,4,4,0,3510.0,34.77,877.5,100.0,0.0
Chhatarpur,Vishwavidyalaya,4,4,0,1274.0,36.98,318.5,100.0,0.0
Ambience Mall,Punjabi Bagh,4,3,1,1752.0,30.93,584.0,75.0,25.0
Uttam Nagar,Azadpur,4,2,2,524.0,31.55,262.0,50.0,50.0
Anand Vihar,Vishwavidyalaya,4,3,1,2080.0,40.84,693.33,75.0,25.0
Civil Lines Gurgaon,Barakhamba Road,4,2,2,2117.0,47.12,1058.5,50.0,50.0
Welcome,Indraprastha,4,3,1,848.0,18.02,282.67,75.0,25.0
Uttam Nagar,Khan Market,4,3,1,572.0,23.92,190.67,75.0,25.0
Civil Lines Gurgaon,Bahadurgarh,4,3,1,1620.0,34.68,540.0,75.0,25.0
Sadar Bazar Gurgaon,Huda City Centre,4,0,2,0.0,7.53,364.0,0.0,50.0
Welcome,Mehrauli,4,3,1,1613.0,25.02,537.67,75.0,25.0
Civil Lines Gurgaon,Azadpur,4,2,2,2051.0,23.12,1025.5,50.0,50.0
Connaught Place,Cyber Hub,4,2,1,1124.0,11.53,533.33,50.0,25.0
Ambience Mall,Narsinghpur,4,3,0,702.0,25.98,249.75,75.0,0.0
Connaught Place,Khandsa,4,3,1,630.0,25.8,210.0,75.0,25.0
Okhla,Ashok Park Main,4,3,0,1959.0,20.15,657.0,75.0,0.0
Paharganj,Ardee City,4,2,1,710.0,29.96,355.0,50.0,25.0
Connaught Place,Khan Market,4,2,2,1331.0,30.04,665.5,50.0,50.0
Chirag Delhi,Aya Nagar,4,4,0,1735.0,26.37,433.75,100.0,0.0
Uttam Nagar,Dwarka Mor,4,4,0,1568.0,33.86,392.0,100.0,0.0
Okhla,Indirapuram,4,2,1,1990.0,41.52,995.0,50.0,25.0
Old Gurgaon,Ambience Mall,4,3,1,426.0,36.08,142.0,75.0,25.0
Chirag Delhi,Rajouri Garden,4,4,0,2263.0,29.15,565.75,100.0,0.0
Civil Lines Gurgaon,Badshahpur,4,3,1,792.0,32.65,264.0,75.0,25.0
Connaught Place,Aya Nagar,4,2,1,635.0,37.13,317.5,50.0,25.0
Anand Vihar,Hauz Rani,4,2,1,571.0,16.33,298.33,50.0,25.0
Sadar Bazar Gurgaon,Mandi House,4,3,0,1947.0,16.94,589.75,75.0,0.0
Connaught Place,Arjangarh,4,3,1,1174.0,27.3,391.33,75.0,25.0
Chirag Delhi,Rohini,4,3,0,1293.0,19.13,350.75,75.0,0.0
Ramesh Nagar,Lajpat Nagar,4,4,0,1865.0,26.54,466.25,100.0,0.0
Old Gurgaon,Sushant Lok,4,2,0,238.0,21.36,119.0,50.0,0.0
Ambience Mall,Mundka,4,3,0,1447.0,27.13,482.33,75.0,0.0
Anand Vihar,Vinobapuri,4,1,0,547.0,29.62,500.5,25.0,0.0
Ambience Mall,Rajiv Chowk,4,3,1,784.0,29.36,261.33,75.0,25.0
Connaught Place,Central Secretariat,4,4,0,1264.0,18.07,316.0,100.0,0.0
Anand Vihar,Sohna Road,4,4,0,1271.0,9.85,317.75,100.0,0.0
Ramesh Nagar,Indraprastha,4,1,1,224.0,22.84,584.67,25.0,25.0
Old Gurgaon,Hauz Rani,4,1,2,64.0,32.15,678.5,25.0,50.0
Ambience Mall,Munirka,4,2,2,332.0,34.84,166.0,50.0,50.0
Okhla,Adarsh Nagar,4,2,2,418.0,39.83,209.0,50.0,50.0
Anand Vihar,Hauz Khas,4,4,0,3180.0,26.55,795.0,100.0,0.0
Anand Vihar,Kherki Daula Toll,4,3,1,1418.0,24.68,472.67,75.0,25.0
Connaught Place,Chandni Chowk,4,1,1,223.0,22.17,223.0,25.0,25.0
Sadar Bazar Gurgaon,Lok Kalyan Marg,4,4,0,1140.0,29.94,285.0,100.0,0.0
Old Gurgaon,Sultanpur,4,2,1,1008.0,22.2,504.0,50.0,25.0
Connaught Place,Mansarovar Park,4,2,1,1707.0,31.86,853.5,50.0,25.0
Old Gurgaon,Tagore Garden,4,3,0,2034.0,28.22,678.0,75.0,0.0
Old Gurgaon,Tughlakabad,4,4,0,1482.0,32.95,370.5,100.0,0.0
Raj Nagar Extension,Huda City Centre,4,3,0,1026.0,9.44,341.5,75.0,0.0
Old Gurgaon,Subhash Nagar,4,1,1,346.0,25.1,346.0,25.0,25.0
Ramesh Nagar,Dwarka Mor,4,2,0,307.0,15.01,450.75,50.0,0.0
Welcome,Qutub Minar,4,3,1,1163.0,18.6,387.67,75.0,25.0
Okhla,Greater Kailash,4,2,0,1629.0,19.19,814.5,50.0,0.0
Uttam Nagar,MG Road,4,3,1,1017.0,28.31,339.0,75.0,25.0
Chirag Delhi,AIIMS,4,4,0,1875.0,15.16,468.75,100.0,0.0
Paharganj,AIIMS,4,2,1,4055.0,29.43,1402.33,50.0,25.0
Old Gurgaon,Welcome,4,2,1,599.0,17.85,299.5,50.0,25.0
Anand Vihar,IMT Manesar,4,3,0,1246.0,23.29,415.33,75.0,0.0
Raj Nagar Extension,Samaypur Badli,4,3,1,1031.0,24.02,343.67,75.0,25.0
Chirag Delhi,Vinobapuri,4,1,2,56.0,32.6,198.5,25.0,50.0
Anand Vihar,IIT Delhi,4,2,0,1670.0,13.95,648.0,50.0,0.0
Welcome,Manesar,4,4,0,2772.0,27.36,693.0,100.0,0.0
Welcome,Rajiv Chowk,4,3,0,1903.0,21.54,634.33,75.0,0.0
Okhla,Gwal Pahari,4,3,1,2485.0,25.67,828.33,75.0,25.0
Ramesh Nagar,Delhi Gate,4,4,0,1722.0,20.69,430.5,100.0,0.0
Chirag Delhi,Sarojini Nagar,4,4,0,2308.0,24.91,577.0,100.0,0.0
Welcome,Lok Kalyan Marg,4,1,3,354.0,23.43,354.0,25.0,75.0
Uttam Nagar,Ghitorni Village,4,3,1,1316.0,14.54,438.67,75.0,25.0
Okhla,DLF Phase 3,4,3,1,2485.0,28.92,828.33,75.0,25.0
Okhla,Bahadurgarh,4,4,0,1461.0,30.64,365.25,100.0,0.0
RK Puram,Sohna Road,4,1,3,601.0,49.1,601.0,25.0,75.0
Anand Vihar,Indirapuram,4,3,0,1892.0,28.65,630.67,75.0,0.0
Chirag Delhi,Akshardham,4,2,0,1104.0,14.63,396.33,50.0,0.0
Connaught Place,Inderlok,4,3,1,2513.0,23.89,837.67,75.0,25.0
Uttam Nagar,Barakhamba Road,4,3,1,2774.0,22.53,924.67,75.0,25.0
Anand Vihar,Jor Bagh,4,3,1,579.0,32.41,193.0,75.0,25.0
Old Gurgaon,Chhatarpur,4,1,2,842.0,14.66,842.0,25.0,50.0
Sadar Bazar Gurgaon,Mundka,4,3,0,1104.0,18.88,464.75,75.0,0.0
Okhla,Botanical Garden,4,2,2,494.0,14.42,247.0,50.0,50.0
Old Gurgaon,Chirag Delhi,4,3,1,2485.0,32.17,828.33,75.0,25.0
Raj Nagar Extension,Sarojini Nagar,4,2,1,568.0,20.31,239.0,50.0,25.0
Connaught Place,Jahangirpuri,4,3,1,1907.0,30.89,635.67,75.0,25.0
Old Gurgaon,Golf Course Road,4,3,0,1609.0,24.02,536.33,75.0,0.0
Uttam Nagar,Basai Dhankot,4,4,0,2707.0,21.24,676.75,100.0,0.0
Welcome,Mansarovar Park,4,2,0,735.0,21.37,304.75,50.0,0.0
Welcome,Ramesh Nagar,4,3,1,740.0,14.19,246.67,75.0,25.0
Ambience Mall,Netaji Subhash Place,4,4,0,2569.0,22.03,642.25,100.0,0.0
Okhla,Chanakyapuri,4,3,1,1364.0,20.32,454.67,75.0,25.0
Sadar Bazar Gurgaon,Gurgaon Sector 29,4,1,3,256.0,20.94,256.0,25.0,75.0
Connaught Place,India Gate,4,3,1,1043.0,19.57,347.67,75.0,25.0
Sadar Bazar Gurgaon,Moti Nagar,4,3,1,597.0,31.47,199.0,75.0,25.0
Uttam Nagar,Chhatarpur,4,2,1,490.0,17.09,245.0,50.0,25.0
Okhla,Badshahpur,4,3,1,560.0,29.33,186.67,75.0,25.0
Okhla,Govindpuri,4,1,2,1380.0,22.4,1380.0,25.0,50.0
Old Gurgaon,Badarpur,4,2,1,819.0,31.34,409.5,50.0,25.0
Old Gurgaon,Azadpur,4,3,1,1203.0,28.09,401.0,75.0,25.0
Sadar Bazar Gurgaon,Akshardham,4,3,1,1362.0,31.48,454.0,75.0,25.0
Old Gurgaon,Vasant Kunj,4,1,1,121.0,16.28,306.5,25.0,25.0
Anand Vihar,Jasola,4,3,1,1607.0,39.93,535.67,75.0,25.0
Civil Lines Gurgaon,Adarsh Nagar,4,3,1,1562.0,23.53,520.67,75.0,25.0
Connaught Place,Keshav Puram,4,2,2,943.0,32.84,471.5,50.0,50.0
Anand Vihar,Sultanpur,4,3,1,2114.0,41.94,704.67,75.0,25.0
Chirag Delhi,Arjangarh,4,2,2,972.0,35.98,486.0,50.0,50.0
Uttam Nagar,Civil Lines Gurgaon,4,2,2,617.0,13.06,308.5,50.0,50.0
Sadar Bazar Gurgaon,Ghitorni,4,3,1,1159.0,25.29,386.33,75.0,25.0
Uttam Nagar,Cyber Hub,4,3,1,1503.0,28.81,501.0,75.0,25.0
Old Gurgaon,Civil Lines Gurgaon,4,1,1,374.0,6.64,219.0,25.0,25.0
Connaught Place,Dilshad Garden,4,1,2,1386.0,11.6,1400.0,25.0,50.0
Uttam Nagar,Munirka,4,1,1,470.0,6.31,728.0,25.0,25.0
Old Gurgaon,Badshahpur,4,4,0,2457.0,36.52,614.25,100.0,0.0
Chirag Delhi,Saket,4,2,0,473.0,13.72,471.33,50.0,0.0
Chirag Delhi,Vishwavidyalaya,4,3,0,1950.0,29.31,581.0,75.0,0.0
Chirag Delhi,Samaypur Badli,4,3,1,1264.0,21.33,421.33,75.0,25.0
Old Gurgaon,GTB Nagar,4,4,0,2852.0,28.48,713.0,100.0,0.0
Uttam Nagar,Meerut,4,2,2,1204.0,12.14,602.0,50.0,50.0
Connaught Place,Green Park,4,3,1,667.0,28.52,222.33,75.0,25.0
Uttam Nagar,Sikanderpur,4,4,0,5162.0,28.47,1290.5,100.0,0.0
Chirag Delhi,Welcome,4,1,1,135.0,5.61,135.0,25.0,25.0
Ramesh Nagar,IMT Manesar,4,2,2,1671.0,24.89,835.5,50.0,50.0
Connaught Place,Greater Noida,4,1,1,75.0,3.37,182.0,25.0,25.0
Old Gurgaon,Dwarka Sector 21,4,1,2,555.0,38.41,555.0,25.0,50.0
Chirag Delhi,Yamuna Bank,4,1,2,462.0,32.08,462.0,25.0,50.0
Connaught Place,Kanhaiya Nagar,4,2,0,1532.0,12.52,766.0,50.0,0.0
Paharganj,Anand Vihar ISBT,4,3,1,1402.0,29.64,467.33,75.0,25.0
Okhla,Ghaziabad,4,2,2,1319.0,39.18,659.5,50.0,50.0
Okhla,Ghitorni Village,4,3,1,1491.0,26.81,497.0,75.0,25.0
Connaught Place,Ghitorni Village,4,4,0,1925.0,13.96,481.25,100.0,0.0
Sadar Bazar Gurgaon,Ghitorni Village,4,3,1,1707.0,25.58,569.0,75.0,25.0
Ramesh Nagar,Hero Honda Chowk,4,1,2,552.0,48.79,552.0,25.0,50.0
Ramesh Nagar,Janakpuri,4,2,1,589.0,44.21,294.5,50.0,25.0
Uttam Nagar,Golf Course Road,4,0,2,0.0,6.63,244.0,0.0,50.0
Raj Nagar Extension,Mundka,4,3,1,1850.0,42.69,616.67,75.0,25.0
Raj Nagar Extension,Moti Nagar,4,3,1,1305.0,28.4,435.0,75.0,25.0
Sadar Bazar Gurgaon,Delhi Gate,4,3,1,1140.0,13.6,380.0,75.0,25.0
Sadar Bazar Gurgaon,Kanhaiya Nagar,4,2,1,449.0,23.43,202.0,50.0,25.0
Anand Vihar,Ghitorni,4,3,1,2362.0,28.02,787.33,75.0,25.0
Ramesh Nagar,Greater Kailash,4,3,0,1355.0,27.94,507.25,75.0,0.0
Chirag Delhi,Inderlok,4,1,2,405.0,33.35,348.0,25.0,50.0
Civil Lines Gurgaon,Faridabad Sector 15,4,3,0,1501.0,19.03,500.33,75.0,0.0
Old Gurgaon,Okhla,4,2,2,1132.0,14.17,566.0,50.0,50.0
Old Gurgaon,Kashmere Gate,4,0,3,0.0,10.41,99.0,0.0,75.0
Chirag Delhi,Noida Sector 62,4,2,1,900.0,11.8,704.67,50.0,25.0
Okhla,South Extension,4,2,1,1506.0,13.55,829.0,50.0,25.0
Anand Vihar,Preet Vihar,4,3,1,2846.0,18.56,948.67,75.0,25.0
Anand Vihar,Anand Vihar ISBT,4,4,0,2491.0,21.57,622.75,100.0,0.0
Anand Vihar,Peeragarhi,4,2,1,1273.0,15.32,636.5,50.0,25.0
Civil Lines Gurgaon,GTB Nagar,4,4,0,1837.0,16.69,459.25,100.0,0.0
Civil Lines Gurgaon,Laxmi Nagar,4,2,1,1072.0,9.14,433.0,50.0,25.0
Old Gurgaon,Kaushambi,4,3,0,794.0,24.51,223.5,75.0,0.0
Okhla,Sohna Road,4,4,0,2791.0,18.49,697.75,100.0,0.0
Civil Lines Gurgaon,Ghaziabad,4,2,2,1081.0,25.74,540.5,50.0,50.0
Old Gurgaon,Nirman Vihar,4,3,1,1742.0,6.82,580.67,75.0,25.0
Okhla,Peeragarhi,4,2,1,1035.0,39.64,517.5,50.0,25.0
Sadar Bazar Gurgaon,Bhiwadi,4,3,0,1510.0,31.68,641.25,75.0,0.0
Welcome,Noida Extension,4,3,1,576.0,24.74,192.0,75.0,25.0
Anand Vihar,Mayur Vihar,4,2,2,896.0,37.28,448.0,50.0,50.0
Old Gurgaon,Panipat,4,2,2,1039.0,33.29,519.5,50.0,50.0
Raj Nagar Extension,Karol Bagh,4,2,2,1239.0,32.78,619.5,50.0,50.0
Welcome,Paharganj,4,4,0,1637.0,19.81,409.25,100.0,0.0
Raj Nagar Extension,Adarsh Nagar,4,3,1,1088.0,32.41,362.67,75.0,25.0
Anand Vihar,Ghitorni Village,4,3,1,625.0,12.22,208.33,75.0,25.0
Civil Lines Gurgaon,Dilshad Garden,4,2,1,2395.0,18.56,914.33,50.0,25.0
Raj Nagar Extension,Nirman Vihar,4,2,2,826.0,31.18,413.0,50.0,50.0
Chirag Delhi,IFFCO Chowk,4,2,2,946.0,24.7,473.0,50.0,50.0
Sadar Bazar Gurgaon,Bhikaji Cama Place,4,3,1,781.0,19.46,260.33,75.0,25.0
Old Gurgaon,Patel Chowk,4,1,2,555.0,15.43,555.0,25.0,50.0
Uttam Nagar,Karol Bagh,4,3,0,2158.0,24.06,676.5,75.0,0.0
Ambience Mall,Vasant Kunj,4,2,1,732.0,15.6,366.0,50.0,25.0
Sadar Bazar Gurgaon,Dwarka Mor,4,3,0,1625.0,37.37,541.67,75.0,0.0
Raj Nagar Extension,Nehru Place,4,2,1,1949.0,17.73,795.67,50.0,25.0
Civil Lines Gurgaon,Mehrauli,4,2,1,940.0,30.09,470.0,50.0,25.0
Uttam Nagar,Noida Extension,4,2,1,602.0,30.58,301.0,50.0,25.0
Ramesh Nagar,Jhilmil,4,1,2,446.0,33.77,446.0,25.0,50.0
Raj Nagar Extension,DLF Phase 3,4,2,1,911.0,11.17,546.33,50.0,25.0
Old Gurgaon,Karkarduma,4,2,2,946.0,39.48,473.0,50.0,50.0
Okhla,Subhash Nagar,4,2,1,1028.0,14.36,573.67,50.0,25.0
Sadar Bazar Gurgaon,Karol Bagh,4,2,0,1497.0,32.54,753.67,50.0,0.0
Uttam Nagar,Rajiv Nagar,4,4,0,2469.0,21.32,617.25,100.0,0.0
Raj Nagar Extension,Arjangarh,4,3,1,2313.0,28.12,771.0,75.0,25.0
Uttam Nagar,Pulbangash,4,2,1,1186.0,23.0,458.67,50.0,25.0
Chirag Delhi,Kanhaiya Nagar,4,4,0,2285.0,16.53,571.25,100.0,0.0
Anand Vihar,Ashok Park Main,4,2,2,1184.0,27.26,592.0,50.0,50.0
Civil Lines Gurgaon,Indirapuram,4,1,2,197.0,49.06,197.0,25.0,50.0
Anand Vihar,Noida Sector 62,4,2,1,1035.0,12.72,517.5,50.0,25.0
Old Gurgaon,Manesar,4,2,2,526.0,24.66,263.0,50.0,50.0
Anand Vihar,Cyber Hub,4,2,1,306.0,13.2,153.0,50.0,25.0
Anand Vihar,Noida Sector 18,4,0,1,0.0,12.64,659.0,0.0,25.0
Chirag Delhi,Nawada,4,2,0,782.0,39.81,391.0,50.0,0.0
Sadar Bazar Gurgaon,Jama Masjid,4,3,0,1661.0,28.75,448.0,75.0,0.0
Old Gurgaon,Malviya Nagar,4,4,0,3283.0,26.37,820.75,100.0,0.0
Ramesh Nagar,Gurgaon Sector 56,4,0,3,0.0,18.71,788.0,0.0,75.0
Old Gurgaon,Lok Kalyan Marg,4,2,2,923.0,28.6,461.5,50.0,50.0
Sadar Bazar Gurgaon,Jasola,4,3,0,1429.0,27.48,476.33,75.0,0.0
Anand Vihar,Aya Nagar,4,2,2,583.0,20.86,291.5,50.0,50.0
Raj Nagar Extension,Kherki Daula Toll,4,4,0,1164.0,42.04,291.0,100.0,0.0
Civil Lines Gurgaon,Hauz Khas,4,3,0,1452.0,20.96,484.0,75.0,0.0
Anand Vihar,Nehru Place,4,4,0,1287.0,20.0,321.75,100.0,0.0
Civil Lines Gurgaon,Huda City Centre,4,3,0,2160.0,37.0,718.5,75.0,0.0
Anand Vihar,Chanakyapuri,4,4,0,893.0,39.54,223.25,100.0,0.0
Old Gurgaon,Madipur,4,4,0,2069.0,22.05,517.25,100.0,0.0
Anand Vihar,Netaji Subhash Place,4,2,0,507.0,12.32,357.0,50.0,0.0
Okhla,Rohini East,4,3,1,1332.0,28.38,444.0,75.0,25.0
Sadar Bazar Gurgaon,Janakpuri,4,3,1,752.0,26.63,250.67,75.0,25.0
Okhla,Sarojini Nagar,4,3,0,987.0,28.0,329.0,75.0,0.0
Civil Lines Gurgaon,Indraprastha,4,3,0,1091.0,19.58,363.67,75.0,0.0
Civil Lines Gurgaon,Gwal Pahari,4,2,1,1063.0,24.83,517.33,50.0,25.0
Anand Vihar,Okhla,4,3,0,1191.0,21.28,397.0,75.0,0.0
Anand Vihar,Paschim Vihar,4,3,0,1593.0,29.8,531.0,75.0,0.0
Civil Lines Gurgaon,Ghitorni Village,4,1,1,303.0,25.91,303.0,25.0,25.0
